GP,F,A,GD,P
30,32,26,6,50
34,65,30,35,68
30,24,49,-25,30
34,69,52,17,58
38,47,62,-15,44
38,43,43,0,48
38,63,28,35,79
38,62,48,14,71
38,39,57,-18,38
38,43,43,0,46
34,30,49,-19,26
38,70,25,45,87
34,42,62,-20,29
38,47,63,-16,50
30,27,32,-5,37
33,25,38,-13,24
41,45,39,6,54
38,43,42,1,54
42,43,61,-18,44
34,35,47,-12,41
38,33,52,-19,37
38,49,43,6,68
34,41,51,-10,38
42,62,45,17,76
34,43,36,7,50
34,67,22,45,75
38,35,43,-8,48
38,28,57,-29,32
42,38,53,-15,47
38,36,57,-21,39
36,57,39,18,57
38,48,28,20,63
38,45,49,-4,48
34,38,48,-10,43
38,39,52,-13,54
34,51,38,13,62
38,45,70,-25,28
34,54,65,-11,40
34,35,49,-14,37
38,45,70,-25,41
42,43,50,-7,51
38,29,45,-16,40
38,38,48,-10,39
38,45,49,-4,59
38,52,37,15,65
38,45,68,-23,41
38,48,48,0,58
42,53,36,17,68
38,39,44,-5,43
38,53,40,13,59
38,62,58,4,55
34,64,38,26,60
37,45,47,-2,44
38,44,54,-10,44
38,41,43,-2,53
34,33,47,-14,33
38,33,46,-13,36
42,79,42,37,81
34,51,29,22,60
42,45,63,-18,41
34,53,32,21,64
42,42,43,-1,50
38,28,56,-28,32
38,56,22,34,79
38,53,43,10,63
38,52,36,16,58
38,47,51,-4,49
34,26,45,-19,30
42,50,75,-25,49
38,68,28,40,81
38,33,61,-28,39
38,48,44,4,59
34,52,49,3,50
42,44,49,-5,51
38,45,45,0,49
38,31,56,-25,31
33,27,54,-27,31
38,63,36,27,78
38,68,33,35,75
38,45,35,10,64
34,64,58,6,50
38,50,46,4,60
34,41,55,-14,36
38,32,50,-18,44
38,55,53,2,52
34,41,50,-9,39
38,45,41,4,48
42,54,55,-1,53
42,44,41,3,52
38,40,74,-34,36
36,50,63,-13,41
42,57,41,16,68
38,38,46,-8,51
34,30,57,-27,31
34,48,48,0,55
38,54,40,14,61
38,52,40,12,58
34,34,42,-8,37
34,50,50,0,48
34,66,40,26,60
34,49,57,-8,32
38,35,40,-5,43
42,41,52,-11,45
42,62,43,19,72
38,28,58,-30,29
34,21,40,-19,31
34,43,39,4,46
34,36,61,-25,28
38,54,39,15,65
38,34,57,-23,36
36,44,49,-5,37
34,65,39,26,68
34,37,43,-6,44
34,61,46,15,57
38,48,52,-4,52
38,37,49,-12,37
30,31,46,-15,29
38,46,50,-4,47
34,54,55,-1,49
34,45,52,-7,39
30,47,28,19,54
35,42,34,8,51
42,65,63,2,57
38,39,54,-15,34
38,82,35,47,79
42,69,52,17,72
34,48,69,-21,27
38,36,40,-4,45
36,49,51,-2,44
38,55,46,9,62
34,49,55,-6,53
38,44,43,1,58
34,38,26,12,50
38,40,56,-16,36
38,49,52,-3,40
34,51,49,2,48
34,51,44,7,52
38,29,52,-23,36
34,37,56,-19,42
38,74,31,43,83
38,40,47,-7,56
38,40,52,-12,47
38,48,35,13,57
38,48,48,0,48
34,27,50,-23,29
35,68,40,28,59
34,48,45,3,42
34,48,50,-2,41
38,66,57,9,52
38,50,54,-4,44
42,73,48,25,79
38,58,55,3,49
38,52,43,9,59
38,42,50,-8,42
42,76,45,31,91
38,46,68,-22,40
36,40,56,-16,43
38,41,66,-25,36
38,49,52,-3,51
38,65,41,24,68
38,81,43,38,76
34,47,44,3,55
34,56,65,-9,43
34,48,59,-11,41
30,32,29,3,45
38,54,59,-5,44
38,29,48,-19,43
40,53,69,-16,48
38,49,55,-6,46
38,51,42,9,61
36,55,39,16,60
34,48,55,-7,43
38,31,45,-14,43
34,81,37,44,66
38,51,47,4,56
30,33,39,-6,36
38,38,35,3,56
42,37,67,-30,33
34,42,46,-4,43
38,51,36,15,66
38,41,47,-6,47
42,52,47,5,63
38,40,60,-20,44
38,48,53,-5,48
38,54,49,5,54
38,46,50,-4,47
34,47,50,-3,41
38,46,54,-8,52
38,38,47,-9,42
38,47,54,-7,47
42,53,49,4,57
38,58,70,-12,44
42,37,44,-7,44
38,44,52,-8,50
38,50,53,-3,43
38,39,56,-17,40
38,64,44,20,71
38,43,48,-5,48
34,34,50,-16,37
34,59,44,15,52
34,36,54,-18,34
38,42,43,-1,48
42,37,42,-5,53
42,60,50,10,57
34,58,46,12,53
42,40,49,-9,50
38,29,44,-15,42
38,38,44,-6,46
38,46,49,-3,51
34,38,44,-6,40
34,41,56,-15,37
38,85,46,39,81
38,53,51,2,54
36,76,45,31,69
42,44,49,-5,49
38,41,55,-14,49
38,47,44,3,63
34,38,39,-1,40
38,36,53,-17,38
28,27,26,1,34
38,46,54,-8,42
38,52,38,14,56
34,32,47,-15,36
42,61,40,21,73
42,60,41,19,78
38,47,37,10,55
40,44,68,-24,40
38,46,48,-2,45
42,53,36,17,64
38,59,43,16,63
38,27,61,-34,29
38,46,63,-17,36
42,38,45,-7,48
38,35,69,-34,31
38,48,34,14,60
42,35,33,2,53
38,31,58,-27,30
38,48,59,-11,45
34,51,35,16,59
34,47,34,13,50
32,60,29,31,64
34,35,42,-7,38
42,59,52,7,65
38,46,52,-6,42
38,48,78,-30,31
30,60,44,16,52
30,21,44,-23,23
34,46,47,-1,52
34,45,44,1,42
38,49,47,2,49
38,43,39,4,60
38,39,51,-12,45
38,42,49,-7,48
38,67,43,24,65
34,36,41,-5,36
38,49,41,8,67
36,50,36,14,58
38,53,43,10,59
38,64,33,31,76
38,54,39,15,58
42,45,59,-14,45
38,40,82,-42,25
38,36,54,-18,41
34,53,46,7,46
34,46,58,-12,40
38,50,53,-3,54
38,52,66,-14,47
34,34,57,-23,34
38,38,43,-5,51
38,35,59,-24,41
38,49,65,-16,41
34,47,45,2,43
36,66,42,24,65
34,29,52,-23,30
42,37,80,-43,19
34,30,49,-19,35
34,35,49,-14,42
34,44,37,7,50
30,32,26,6,46
38,66,40,26,76
38,41,40,1,51
34,59,60,-1,45
34,34,62,-28,25
34,42,44,-2,42
34,47,73,-26,29
34,44,55,-11,44
38,50,49,1,53
34,37,64,-27,36
38,53,39,14,59
38,47,52,-5,56
36,68,38,30,67
38,77,37,40,76
38,55,39,16,61
34,27,56,-29,25
42,55,51,4,60
38,59,38,21,62
38,68,41,27,80
30,34,36,-2,35
38,44,59,-15,41
34,75,35,40,79
38,43,25,18,69
38,44,51,-7,43
34,75,39,36,72
30,27,38,-11,29
34,41,52,-11,35
34,36,57,-21,32
34,66,48,18,54
34,63,40,23,64
38,39,55,-16,45
30,35,55,-20,23
34,34,60,-26,33
30,31,43,-12,33
42,32,42,-10,48
38,62,54,8,59
38,36,36,0,53
38,47,41,6,57
38,48,58,-10,50
34,49,43,6,45
34,43,43,0,49
38,53,34,19,66
42,60,47,13,66
36,55,49,6,52
38,48,59,-11,46
42,41,52,-11,48
34,39,60,-21,33
34,46,52,-6,42
38,39,53,-14,43
34,51,32,19,67
34,47,45,2,47
34,61,44,17,63
38,41,44,-3,53
38,72,34,38,83
38,49,43,6,53
38,43,64,-21,42
38,41,52,-11,45
38,55,36,19,68
34,67,36,31,67
38,54,42,12,59
42,79,47,32,81
38,34,37,-3,47
38,48,53,-5,48
42,42,41,1,54
38,35,49,-14,39
38,52,47,5,59
38,50,53,-3,47
34,51,69,-18,36
34,38,50,-12,38
38,32,49,-17,43
38,61,28,33,77
38,52,54,-2,52
30,31,41,-10,33
38,62,41,21,72
38,54,54,0,55
38,38,48,-10,52
42,49,49,0,51
38,42,55,-13,40
34,71,38,33,66
34,58,49,9,53
42,77,43,34,85
42,67,48,19,76
38,42,50,-8,41
37,57,45,12,64
38,38,42,-4,41
34,62,37,25,63
38,48,53,-5,57
34,34,76,-42,24
38,59,39,20,70
38,41,53,-12,41
38,45,32,13,57
38,42,69,-27,37
38,61,55,6,68
30,31,42,-11,37
34,60,46,14,52
34,60,32,28,65
38,37,58,-21,39
38,79,42,37,78
42,52,50,2,53
38,44,47,-3,54
34,50,66,-16,34
36,48,81,-33,36
38,37,42,-5,48
38,39,57,-18,38
38,46,62,-16,45
38,44,53,-9,48
34,59,33,26,68
42,40,53,-13,44
38,55,76,-21,47
38,36,36,0,53
34,44,55,-11,44
34,49,50,-1,49
38,37,52,-15,45
38,40,52,-12,46
38,42,52,-10,47
38,39,51,-12,45
34,46,29,17,64
38,59,45,14,66
34,39,52,-13,38
28,22,44,-22,23
38,45,65,-20,39
38,35,42,-7,47
34,52,49,3,52
38,37,46,-9,43
34,37,69,-32,25
34,44,65,-21,37
38,35,46,-11,37
34,30,35,-5,46
42,48,59,-11,47
34,34,58,-24,38
34,84,47,37,63
34,40,72,-32,35
34,67,29,38,76
34,49,49,0,51
38,67,41,26,62
35,39,52,-13,35
38,49,55,-6,48
38,41,61,-20,26
34,36,36,0,51
34,31,39,-8,41
42,52,71,-19,40
38,44,59,-15,42
42,58,56,2,57
38,34,51,-17,43
38,58,53,5,62
38,29,54,-25,33
38,52,72,-20,39
38,52,59,-7,49
38,63,64,-1,55
38,38,36,2,50
38,51,30,21,69
34,36,47,-11,37
34,33,57,-24,32
38,33,51,-18,44
38,49,54,-5,47
38,53,57,-4,48
38,37,57,-20,38
30,31,52,-21,23
34,42,54,-12,41
38,51,50,1,52
38,36,48,-12,46
38,49,28,21,63
34,36,43,-7,42
38,29,54,-25,34
42,57,27,30,82
42,50,32,18,68
38,48,45,3,54
34,31,49,-18,34
38,39,35,4,58
38,69,39,30,68
38,39,51,-12,40
29,64,19,45,67
36,47,63,-16,41
38,52,55,-3,52
38,45,46,-1,50
34,45,28,17,63
30,28,36,-8,37
34,52,53,-1,44
38,68,50,18,66
38,46,58,-12,43
38,42,68,-26,36
38,73,31,42,84
30,55,20,35,67
28,31,30,1,34
42,59,34,25,74
30,33,32,1,35
38,34,49,-15,50
42,49,52,-3,55
34,47,45,2,45
34,44,42,2,42
42,46,54,-8,44
38,37,45,-8,45
36,49,38,11,51
38,54,50,4,55
38,49,62,-13,45
38,44,40,4,51
38,46,65,-19,46
38,41,66,-25,33
38,34,43,-9,44
32,40,35,5,44
42,30,53,-23,38
34,41,46,-5,48
34,38,74,-36,22
30,26,43,-17,32
38,59,54,5,51
42,67,48,19,78
34,50,31,19,55
34,32,47,-15,35
34,42,52,-10,38
42,55,42,13,70
38,58,40,18,64
36,54,58,-4,47
30,26,42,-16,25
42,58,50,8,59
34,46,53,-7,49
42,56,67,-11,53
30,32,41,-9,36
38,49,58,-9,43
42,41,48,-7,54
38,32,51,-19,41
38,43,72,-29,34
38,73,32,41,87
42,39,48,-9,55
42,45,53,-8,50
38,51,37,14,58
38,42,77,-35,32
34,57,52,5,52
38,55,48,7,53
38,36,63,-27,37
42,35,45,-10,49
38,45,27,18,64
42,55,56,-1,52
38,54,31,23,70
34,53,33,20,62
38,57,50,7,61
38,45,69,-24,31
38,53,52,1,54
34,50,39,11,62
34,36,43,-7,42
34,49,50,-1,46
34,42,59,-17,36
34,52,34,18,67
38,48,49,-1,51
42,56,58,-2,57
38,35,54,-19,39
30,31,38,-7,32
42,48,50,-2,57
38,43,49,-6,48
38,41,58,-17,44
28,26,21,5,41
34,50,42,8,53
38,49,49,0,53
34,47,47,0,52
38,74,61,13,66
38,52,62,-10,43
42,63,67,-4,56
30,36,36,0,42
38,33,75,-42,26
38,44,42,2,56
34,30,75,-45,18
38,34,42,-8,41
34,42,63,-21,33
38,29,71,-42,18
34,36,70,-34,18
38,40,46,-6,41
38,30,50,-20,40
38,41,47,-6,47
42,47,60,-13,49
38,42,44,-2,44
38,55,46,9,55
30,33,43,-10,36
38,36,63,-27,39
34,33,52,-19,33
38,28,66,-38,30
38,40,37,3,62
34,37,49,-12,40
38,48,60,-12,45
38,41,50,-9,44
38,48,51,-3,43
38,21,63,-42,24
38,43,50,-7,43
42,57,33,24,80
34,55,44,11,59
34,39,59,-20,30
34,36,48,-12,31
34,47,52,-5,47
38,43,59,-16,39
34,47,51,-4,39
34,36,55,-19,29
38,44,43,1,58
38,35,56,-21,42
34,41,53,-12,39
38,57,42,15,66
38,38,56,-18,36
34,47,53,-6,44
38,69,35,34,70
38,51,38,13,57
38,41,47,-6,43
38,40,36,4,57
34,67,22,45,77
42,55,42,13,69
38,34,66,-32,19
42,61,58,3,61
38,41,32,9,57
38,37,52,-15,38
38,36,41,-5,52
42,33,53,-20,43
38,45,43,2,51
38,36,78,-42,25
38,61,46,15,60
34,37,43,-6,43
34,42,46,-4,43
36,63,40,23,62
42,45,56,-11,53
38,40,49,-9,44
38,49,52,-3,44
42,58,54,4,57
38,76,33,43,74
38,28,58,-30,30
42,42,43,-1,50
38,66,30,36,72
38,76,43,33,67
38,38,32,6,57
38,32,56,-24,38
34,23,39,-16,32
38,36,53,-17,45
34,34,35,-1,48
34,63,48,15,62
38,39,64,-25,35
34,40,48,-8,37
38,55,56,-1,56
34,35,49,-14,36
38,64,45,19,67
38,48,27,21,66
30,19,33,-14,28
36,55,61,-6,47
38,30,66,-36,30
38,60,62,-2,54
34,46,51,-5,41
34,25,35,-10,40
38,45,46,-1,61
38,44,56,-12,46
38,31,57,-26,34
38,59,40,19,65
34,47,49,-2,45
38,72,36,36,74
30,29,36,-7,36
38,27,67,-40,15
38,39,65,-26,41
34,76,33,43,68
38,56,33,23,67
38,36,42,-6,50
42,49,51,-2,52
34,41,57,-16,34
38,63,57,6,53
38,51,29,22,69
38,60,43,17,58
42,36,33,3,49
38,41,55,-14,51
34,43,32,11,48
38,71,42,29,72
34,44,47,-3,43
38,29,70,-41,25
36,42,56,-14,35
34,60,51,9,49
38,39,53,-14,45
42,54,48,6,65
38,28,52,-24,41
38,47,73,-26,36
42,66,56,10,56
42,48,52,-4,54
38,49,45,4,54
38,70,30,40,90
38,34,67,-33,30
38,56,70,-14,45
38,38,60,-22,36
38,55,35,20,66
38,66,73,-7,44
38,54,49,5,54
38,45,61,-16,42
38,61,50,11,62
38,44,40,4,51
38,40,49,-9,49
34,55,59,-4,40
34,37,74,-37,20
42,41,54,-13,44
34,41,38,3,45
42,41,58,-17,42
38,61,36,25,66
38,53,43,10,59
38,76,42,34,78
38,80,33,47,82
38,58,48,10,57
34,37,43,-6,39
34,36,41,-5,43
36,60,41,19,56
42,61,40,21,72
38,40,57,-17,46
38,34,35,-1,44
34,43,39,4,51
38,52,57,-5,50
38,39,45,-6,55
34,39,51,-12,38
38,50,46,4,58
41,39,62,-23,40
38,51,68,-17,34
34,40,30,10,50
34,71,26,45,77
38,42,39,3,55
38,50,44,6,58
34,57,49,8,50
38,69,49,20,72
38,70,49,21,66
42,34,57,-23,40
38,44,34,10,61
34,43,43,0,42
38,48,44,4,53
41,35,57,-22,37
42,37,38,-1,53
34,37,52,-15,39
38,60,42,18,64
38,65,62,3,50
34,68,21,47,76
34,75,45,30,66
38,49,54,-5,44
38,61,32,29,72
42,63,59,4,55
38,47,68,-21,33
38,57,42,15,65
42,53,59,-6,52
38,35,41,-6,43
38,50,61,-11,44
38,34,55,-21,35
38,33,78,-45,31
38,48,55,-7,45
42,46,48,-2,53
38,34,45,-11,45
34,47,60,-13,44
34,44,52,-8,44
38,68,31,37,67
38,41,48,-7,43
36,68,27,41,76
34,55,46,9,56
38,40,44,-4,48
34,38,60,-22,33
38,49,35,14,66
34,43,46,-3,41
38,53,48,5,55
38,58,47,11,54
37,43,28,15,63
42,49,40,9,66
38,68,30,38,76
38,56,38,18,66
36,33,36,-3,43
34,60,62,-2,45
38,42,43,-1,49
42,58,42,16,73
34,53,60,-7,43
42,57,41,16,71
34,40,46,-6,37
38,39,53,-14,41
34,34,58,-24,31
34,75,33,42,77
38,52,29,23,67
38,40,47,-7,36
42,43,56,-13,50
34,69,49,20,51
34,53,32,21,59
30,48,50,-2,44
34,43,43,0,52
44,52,65,-13,48
34,42,66,-24,39
42,45,59,-14,52
34,85,52,33,69
34,50,40,10,50
34,28,54,-26,27
34,72,40,32,64
42,40,66,-26,41
34,50,49,1,50
38,33,63,-30,40
38,43,40,3,45
38,43,36,7,55
38,46,41,5,60
38,38,40,-2,47
34,41,49,-8,37
34,36,52,-16,39
35,53,36,17,60
38,37,46,-9,43
38,53,38,15,65
30,31,44,-13,32
34,45,49,-4,47
34,56,39,17,61
34,42,40,2,48
42,41,48,-7,48
42,44,49,-5,54
34,44,59,-15,39
42,57,65,-8,46
38,49,38,11,56
38,46,57,-11,44
38,54,44,10,62
34,62,36,26,58
34,53,45,8,47
38,66,46,20,61
38,34,69,-35,34
34,49,65,-16,44
30,35,36,-1,37
38,43,55,-12,47
34,44,39,5,49
38,63,18,45,88
38,72,42,30,69
34,51,71,-20,32
38,55,42,13,64
38,34,47,-13,44
38,40,62,-22,39
42,62,43,19,67
34,31,50,-19,36
38,52,37,15,63
34,38,58,-20,39
38,28,43,-15,38
34,24,63,-39,22
34,56,30,26,63
38,80,57,23,67
42,37,39,-2,47
42,41,60,-19,45
42,57,50,7,66
38,54,67,-13,48
30,39,28,11,46
34,55,39,16,58
42,60,40,20,71
38,77,48,29,67
34,32,41,-9,42
38,40,56,-16,40
38,46,52,-6,44
38,51,39,12,54
38,40,65,-25,34
38,43,54,-11,40
38,43,54,-11,36
38,37,70,-33,32
38,37,55,-18,37
34,37,46,-9,42
30,35,53,-18,31
34,69,28,41,74
34,35,46,-11,38
30,37,41,-4,36
34,48,43,5,52
38,34,69,-35,28
34,44,49,-5,42
34,52,55,-3,43
34,51,56,-5,47
38,63,40,23,68
38,48,37,11,60
34,53,48,5,52
42,56,27,29,74
42,53,50,3,60
34,60,55,5,53
42,62,43,19,66
38,57,58,-1,60
38,37,53,-16,35
38,48,59,-11,47
38,54,37,17,57
40,41,55,-14,44
42,67,32,35,82
36,51,67,-16,37
38,44,70,-26,36
36,51,55,-4,43
38,60,47,13,55
34,47,36,11,58
30,35,42,-7,42
38,64,65,-1,55
34,48,48,0,45
38,55,48,7,53
42,73,47,26,78
38,28,41,-13,43
42,44,44,0,53
38,30,67,-37,21
34,42,47,-5,45
30,20,35,-15,30
38,52,54,-2,53
38,29,69,-40,22
38,21,70,-49,20
38,57,33,24,69
34,41,36,5,48
30,23,37,-14,31
34,54,28,26,66
42,60,62,-2,52
34,40,48,-8,40
42,57,41,16,71
38,36,41,-5,37
38,72,37,35,82
42,71,43,28,81
34,37,40,-3,42
34,58,46,12,54
34,30,36,-6,44
38,47,50,-3,55
38,30,50,-20,37
38,26,69,-43,15
38,46,49,-3,47
34,72,38,34,69
38,54,29,25,69
38,65,43,22,66
38,71,38,33,69
32,28,47,-19,36
38,64,24,40,83
34,44,54,-10,39
38,55,49,6,61
34,55,42,13,55
42,41,41,0,55
38,44,45,-1,51
38,50,38,12,63
38,53,41,12,69
38,52,41,11,53
38,63,35,28,68
38,34,47,-13,44
42,37,47,-10,53
38,68,41,27,79
38,44,56,-12,42
36,37,64,-27,36
42,31,63,-32,35
42,46,64,-18,38
38,51,46,5,55
30,35,30,5,45
42,37,62,-25,35
36,45,45,0,52
38,42,56,-14,49
38,36,73,-37,24
38,77,38,39,78
38,44,62,-18,40
38,45,53,-8,44
28,38,22,16,52
38,61,62,-1,52
38,41,59,-18,43
34,33,51,-18,33
42,37,51,-14,51
34,49,50,-1,45
38,50,60,-10,43
38,52,41,11,58
34,65,20,45,85
38,48,47,1,54
30,36,37,-1,43
34,52,39,13,58
28,27,33,-6,30
34,59,32,27,65
42,37,58,-21,31
42,49,51,-2,50
38,53,41,12,61
38,50,68,-18,42
38,36,44,-8,41
34,41,59,-18,33
42,57,57,0,57
38,24,37,-13,44
28,29,38,-9,30
34,41,51,-10,36
34,32,49,-17,39
38,32,55,-23,38
38,38,69,-31,36
38,44,61,-17,47
34,32,41,-9,37
34,37,54,-17,33
36,45,71,-26,41
38,52,42,10,58
38,39,32,7,54
34,30,57,-27,30
42,44,36,8,68
38,52,44,8,57
38,50,48,2,50
38,42,58,-16,40
35,44,46,-2,42
42,45,55,-10,44
34,42,53,-11,48
42,49,63,-14,43
38,40,61,-21,41
38,72,39,33,74
34,49,71,-22,30
38,73,38,35,73
42,48,43,5,63
34,33,42,-9,39
38,53,47,6,52
38,55,58,-3,45
38,52,60,-8,44
42,37,54,-17,44
38,33,77,-44,26
38,50,30,20,72
38,38,45,-7,46
34,35,51,-16,31
42,46,57,-11,51
37,44,39,5,55
42,52,51,1,59
30,45,33,12,46
28,30,45,-15,26
38,29,47,-18,35
34,50,52,-2,45
38,66,36,30,75
34,53,37,16,63
38,56,43,13,59
34,65,52,13,55
38,37,51,-14,43
36,54,37,17,62
42,44,51,-7,46
34,66,56,10,58
38,37,42,-5,53
38,69,54,15,59
38,49,62,-13,39
42,44,44,0,54
38,43,66,-23,37
38,56,53,3,58
38,40,70,-30,31
38,61,25,36,72
38,46,55,-9,50
38,44,41,3,47
30,25,27,-2,41
38,48,56,-8,46
34,55,49,6,47
38,58,46,12,59
42,45,50,-5,57
38,54,22,32,76
34,23,64,-41,21
38,65,54,11,66
34,39,40,-1,41
38,62,68,-6,54
38,42,54,-12,46
38,52,32,20,66
38,51,53,-2,49
38,44,61,-17,38
34,50,55,-5,43
38,74,36,38,77
38,69,40,29,71
38,36,51,-15,40
38,37,60,-23,34
34,35,51,-16,38
42,55,50,5,61
34,49,47,2,61
38,46,48,-2,46
38,42,60,-18,39
34,32,72,-40,26
38,24,37,-13,38
38,52,52,0,54
34,53,38,15,52
38,65,47,18,62
34,47,31,16,61
38,56,60,-4,47
34,41,52,-11,41
38,35,54,-19,42
38,59,52,7,49
34,56,46,10,63
38,47,68,-21,43
42,44,51,-7,48
34,58,32,26,61
38,35,46,-11,40
38,44,69,-25,35
36,39,67,-28,29
38,41,62,-21,33
38,65,44,21,65
36,72,25,47,75
38,32,62,-30,27
34,56,62,-6,43
34,49,33,16,62
38,52,65,-13,47
42,51,60,-9,52
34,57,58,-1,46
42,66,55,11,58
38,57,27,30,68
38,56,65,-9,39
38,58,40,18,65
38,43,59,-16,36
34,41,44,-3,47
34,47,44,3,48
38,40,67,-27,31
36,52,42,10,46
42,61,44,17,71
38,58,51,7,58
34,34,40,-6,44
30,33,31,2,45
42,72,50,22,74
38,49,48,1,45
38,55,56,-1,55
34,56,40,16,51
38,38,43,-5,42
38,66,59,7,49
38,46,50,-4,48
38,37,41,-4,44
38,48,65,-17,40
34,28,60,-32,28
34,42,42,0,50
34,44,34,10,55
38,46,46,0,49
34,57,44,13,63
36,46,54,-8,41
38,39,48,-9,38
38,36,46,-10,46
34,29,56,-27,28
38,32,35,-3,52
44,57,68,-11,51
34,43,37,6,46
38,47,40,7,52
42,45,61,-16,46
38,41,45,-4,53
38,68,33,35,71
38,54,39,15,68
34,19,55,-36,22
42,42,53,-11,49
42,54,38,16,71
34,68,42,26,67
38,36,56,-20,41
38,43,53,-10,43
34,45,49,-4,42
37,45,40,5,51
38,43,48,-5,51
38,43,41,2,50
38,50,50,0,52
42,46,48,-2,62
42,55,53,2,59
42,63,51,12,64
42,57,35,22,65
38,57,47,10,32
34,39,48,-9,37
42,56,55,1,52
38,41,43,-2,51
38,54,37,17,65
34,42,60,-18,36
34,49,38,11,49
38,36,48,-12,43
28,35,34,1,40
42,61,36,25,82
37,37,40,-3,41
38,68,29,39,84
38,70,63,7,60
38,59,55,4,47
42,60,64,-4,60
38,40,66,-26,35
38,47,57,-10,44
38,46,49,-3,53
42,58,49,9,65
42,27,57,-30,31
42,45,46,-1,55
34,45,48,-3,45
36,35,51,-16,38
38,32,77,-45,27
38,69,46,23,70
34,49,58,-9,33
34,33,54,-21,27
34,48,45,3,46
38,34,48,-14,47
34,48,30,18,67
38,45,39,6,52
38,55,51,4,69
38,47,66,-19,35
38,45,66,-21,33
34,36,60,-24,32
38,46,48,-2,47
34,29,35,-6,44
38,48,39,9,58
42,50,46,4,55
38,47,30,17,64
38,42,48,-6,48
38,71,51,20,60
38,71,56,15,62
34,36,50,-14,32
34,43,54,-11,42
38,50,50,0,60
36,43,56,-13,36
29,25,49,-24,23
38,42,40,2,45
38,47,48,-1,50
38,55,40,15,63
34,49,34,15,60
38,38,66,-28,34
28,31,34,-3,32
38,60,57,3,51
42,47,42,5,58
38,41,27,14,57
35,38,49,-11,45
38,59,53,6,59
38,64,23,41,83
38,43,56,-13,50
42,48,45,3,59
34,55,63,-8,38
42,55,39,16,70
38,60,43,17,63
38,32,44,-12,44
38,49,55,-6,47
38,31,63,-32,32
38,36,68,-32,24
34,53,30,23,68
30,41,16,25,62
30,40,44,-4,40
37,46,39,7,57
38,61,35,26,63
38,56,60,-4,54
34,34,33,1,44
36,47,57,-10,41
36,39,54,-15,43
38,83,38,45,79
38,50,41,9,61
30,27,46,-19,28
42,48,41,7,56
30,28,55,-27,23
38,47,56,-9,45
38,40,82,-42,25
38,48,58,-10,48
42,38,46,-8,49
38,38,47,-9,48
38,34,44,-10,47
38,40,53,-13,42
36,28,77,-49,20
42,40,46,-6,57
38,47,58,-11,42
38,67,37,30,73
44,54,38,16,69
38,55,78,-23,39
38,37,34,3,56
42,42,54,-12,51
34,33,40,-7,45
38,51,35,16,71
37,50,40,10,57
34,65,43,22,63
34,38,46,-8,39
34,60,46,14,56
38,80,47,33,77
34,37,45,-8,38
38,45,61,-16,46
34,84,55,29,67
38,56,59,-3,43
38,42,56,-14,45
34,36,35,1,55
38,49,58,-9,58
38,30,60,-30,25
38,48,54,-6,41
38,38,48,-10,47
38,60,51,9,53
30,31,49,-18,25
34,37,37,0,39
42,54,27,27,82
38,49,53,-4,48
38,37,67,-30,36
38,65,48,17,59
34,47,35,12,57
38,45,54,-9,45
38,39,72,-33,43
34,43,56,-13,46
34,49,35,14,65
34,51,50,1,50
38,57,54,3,60
38,74,41,33,79
30,21,45,-24,26
34,38,56,-18,40
38,57,47,10,53
34,60,36,24,72
38,68,24,44,90
42,46,52,-6,50
42,40,48,-8,46
38,44,57,-13,42
38,52,45,7,53
30,61,18,43,70
38,37,44,-7,43
38,38,40,-2,47
30,41,38,3,39
34,63,51,12,55
38,39,41,-2,45
38,52,55,-3,45
38,63,38,25,71
42,59,28,31,80
38,60,33,27,74
38,48,61,-13,40
38,50,63,-13,41
40,49,48,1,50
38,67,54,13,65
34,76,42,34,65
38,55,55,0,53
38,48,58,-10,45
33,20,48,-28,23
38,43,75,-32,21
42,41,61,-20,40
38,53,50,3,52
30,61,31,30,63
30,44,18,26,66
38,48,70,-22,38
33,44,42,2,43
38,59,53,6,64
38,33,45,-12,42
38,51,65,-14,41
42,41,46,-5,52
34,50,56,-6,42
42,49,52,-3,59
38,35,46,-11,48
34,47,53,-6,42
38,49,49,0,58
38,60,50,10,55
34,46,59,-13,42
34,68,44,24,55
38,59,48,11,55
34,46,42,4,50
42,47,70,-23,40
34,25,48,-23,34
38,72,40,32,70
34,76,50,26,57
38,37,53,-16,36
34,36,65,-29,19
38,37,43,-6,50
42,52,47,5,59
34,35,35,0,47
34,49,51,-2,48
42,58,42,16,72
38,57,33,24,75
34,42,54,-12,38
36,50,56,-6,46
37,36,54,-18,40
38,36,61,-25,43
38,42,45,-3,51
38,38,59,-21,34
38,35,76,-41,31
38,37,40,-3,50
34,53,26,27,66
38,59,41,18,66
42,49,67,-18,47
42,50,49,1,59
38,60,41,19,65
34,68,36,32,70
28,22,40,-18,28
34,53,32,21,68
38,43,66,-23,39
30,30,44,-14,32
30,29,60,-31,29
34,34,52,-18,36
34,39,55,-16,32
34,42,52,-10,41
34,49,62,-13,32
34,34,48,-14,31
38,38,53,-15,37
38,41,54,-13,39
38,40,48,-8,47
38,55,59,-4,55
34,78,36,42,72
38,38,32,6,56
42,58,50,8,62
38,74,51,23,70
34,38,61,-23,34
38,42,60,-18,39
34,43,55,-12,35
38,52,49,3,59
38,66,27,39,81
38,43,56,-13,41
38,41,54,-13,38
42,52,43,9,65
42,69,37,32,82
34,34,40,-6,35
